"My quota: %1","Kontingent: %1"
Not Enough Quantity Allocation,Nicht genügend Kontingente verfügbar
You can buy this product only in quantities of %1 at a time.,Dieser Artikel kann nur in Einheiten von %1 gekauft werden.
The fewest you may purchase is %1.,"Die wenigsten, die Sie kaufen können, sind %1."
Article,Artikelnr.
Article Name,Produktname
Contingent,Kontingent
"Search","Suche"
Quota deposited for,Verfũgbares Kontingent von
from,von
Product %1 Not Enough Quantity Allocation. Your current allocation is %2,%1 - nicht ausreichend Kontingent. Ihr Kontingent für diesen Artikel beträgt %2
"Don't have any product allocation match with search.","Kein passendes Produkt gefunden."
"was added to your shopping cart.","wurde in den Warenkorb gelegt."
"Cannot add the item to shopping cart.","Artikel kann nicht in den Warenkorb gelegt werden."
There are currently no contingents for you!,Ihnen sind derzeit keine Kontingente zugewiesen.
Choose an option...,Wählen Sie eine Option...